onset	duration	weight	trial_type	aux	word	concreteness	log_freq	denb	freq_den_interxn
12.278	0	1	SparseCorrect	NA	twice	1.89	10.74	2	21.48
18.418	0	1	SparseCorrect	NA	prove	4.89	10.36	5	51.8
24.557	0	1	SparseCorrect	NA	beard	4.89	8.06	6	48.36
30.696	0	1	SparseCorrect	NA	pierce	4.93	8.51	4	34.04
36.836	0	1	DenseCorrect	NA	cut	4.33	11.5	25	287.5
42.975	0	1	DenseCorrect	NA	hip	4.17	8.83	28	247.24
55.254	0	1	noise	NA	null	-1	-1	-1	-1
61.393	0	1	SparseCorrect	NA	clutch	3.56	7.91	4	31.64
67.533	0	1	DenseCorrect	NA	shut	3.18	9.89	21	207.69
73.672	0	1	noise	NA	null	-1	-1	-1	-1
79.811	0	1	DenseIncorrect	NA	hole	4.79	10.16	31	314.96
98.228	0	1	SparseCorrect	NA	loyal	2.77	8.26	3	24.78
110.507	0	1	SparseCorrect	NA	pint	4.29	7.29	6	43.74
116.646	0	1	SparseCorrect	NA	crust	4.48	7.3	5	36.5
122.786	0	1	SparseCorrect	NA	squirt	3.44	7.22	5	36.1
128.925	0	1	DenseCorrect	NA	seek	2.5	9.89	31	306.59
141.204	0	1	SparseCorrect	NA	snug	2.27	7.14	6	42.84
147.343	0	1	noise	NA	null	-1	-1	-1	-1
159.622	0	1	noise	NA	null	-1	-1	-1	-1
165.761	0	1	noise	NA	null	-1	-1	-1	-1
171.9	0	1	noise	NA	null	-1	-1	-1	-1
178.039	0	1	DenseCorrect	NA	fire	4.66	11.05	22	243.1
184.179	0	1	DenseCorrect	NA	beak	4.96	6.37	28	178.36
190.318	0	1	SparseCorrect	NA	thread	4.69	10.95	6	65.7
196.457	0	1	noise	NA	null	-1	-1	-1	-1
202.597	0	1	DenseCorrect	NA	late	2.5	10.92	32	349.44
208.736	0	1	SparseCorrect	NA	pure	1.65	9.96	2	19.92
214.875	0	1	SparseCorrect	NA	fact	2.54	12.13	6	72.78
227.154	0	1	DenseCorrect	NA	mum	4.04	7.28	23	167.44
233.294	0	1	noise	NA	null	-1	-1	-1	-1
239.433	0	1	SparseCorrect	NA	twist	3.67	9.15	3	27.45
245.572	0	1	DenseCorrect	NA	peak	4.12	9.04	31	280.24
251.712	0	1	SparseCorrect	NA	slouch	3.17	5.27	0	0
257.851	0	1	DenseCorrect	NA	hair	4.96	10.66	24	255.84
263.989	0	1	DenseCorrect	NA	save	2.24	11.05	22	243.1
270.129	0	1	DenseCorrect	NA	pitch	3.92	9.08	24	217.92
276.268	0	1	DenseCorrect	NA	hear	3.56	11.41	30	342.3
282.407	0	1	DenseCorrect	NA	know	5	13.59	27	366.93
288.547	0	1	noise	NA	null	-1	-1	-1	-1
297.756	0	1	SparseCorrect	NA	fifth	4.04	9.09	1	9.09
303.895	0	1	DenseCorrect	NA	soap	4.86	8.99	21	188.79
310.035	0	1	DenseCorrect	NA	buck	4.67	8.82	29	255.78
316.174	0	1	SparseIncorrect	NA	press	3.73	11.26	6	67.56
328.453	0	1	DenseCorrect	NA	rake	4.1	6.82	30	204.6
340.731	0	1	noise	NA	null	-1	-1	-1	-1
346.871	0	1	DenseCorrect	NA	ten	4.14	10.57	27	285.39
353.009	0	1	SparseCorrect	NA	smooth	3.14	9.51	1	9.51
359.149	0	1	SparseCorrect	NA	drawer	4.58	7.82	6	46.92
365.288	0	1	SparseCorrect	NA	yarn	4.79	8.05	5	40.25
377.567	0	1	DenseCorrect	NA	nail	4.17	8.43	26	219.18
