onset	duration	weight	trial_type	aux	word	concreteness	log_freq	denb	freq_den_interxn
12.279	0	1	DenseIncorrect	NA	coke	4.82	8.36	29	242.44
18.419	0	1	DenseCorrect	NA	moat	4.65	7.73	31	239.63
24.558	0	1	SparseIncorrect	NA	dorm	4.29	7.41	5	37.05
30.698	0	1	noise	NA	null	-1	-1	-1	-1
36.838	0	1	DenseCorrect	NA	tan	4.19	9.06	25	226.5
42.978	0	1	SparseCorrect	NA	space	3.31	11.64	6	69.84
55.258	0	1	SparseCorrect	NA	disc	4.76	9.73	4	38.92
61.397	0	1	DenseCorrect	NA	pearl	2.96	9.28	21	194.88
73.677	0	1	DenseCorrect	NA	coal	4.65	8.48	35	296.8
79.817	0	1	SparseIncorrect	NA	shrine	4.32	7.77	5	38.85
85.957	0	1	SparseCorrect	NA	twang	2.68	5.29	1	5.29
92.096	0	1	noise	NA	null	-1	-1	-1	-1
98.235	0	1	SparseCorrect	NA	bounce	3.57	8.35	4	33.4
104.375	0	1	DenseCorrect	NA	tic	3.64	6.67	30	200.1
110.515	0	1	SparseCorrect	NA	choice	1.69	11.09	3	33.27
116.655	0	1	DenseCorrect	NA	cent	4.18	8.75	22	192.5
122.795	0	1	SparseCorrect	NA	drink	4.68	9.9	6	59.4
128.934	0	1	DenseCorrect	NA	shine	3.6	8.07	21	169.47
135.074	0	1	SparseCorrect	NA	stood	3	9.57	4	38.28
141.214	0	1	SparseCorrect	NA	smash	3.37	7.85	4	31.4
153.494	0	1	noise	NA	null	-1	-1	-1	-1
159.634	0	1	DenseCorrect	NA	scene	3.84	10.37	29	300.73
165.773	0	1	noise	NA	null	-1	-1	-1	-1
171.913	0	1	DenseCorrect	NA	war	3.48	11.6	29	336.4
178.053	0	1	SparseCorrect	NA	shears	4.47	5.57	1	5.57
184.193	0	1	noise	NA	null	-1	-1	-1	-1
196.472	0	1	DenseCorrect	NA	code	3	11.91	28	333.48
202.611	0	1	SparseIncorrect	NA	hulk	3.21	8.41	5	42.05
208.751	0	1	SparseIncorrect	NA	breath	4.25	9.58	3	28.74
221.031	0	1	noise	NA	null	-1	-1	-1	-1
227.171	0	1	DenseCorrect	NA	boat	4.93	9.67	32	309.44
233.31	0	1	DenseCorrect	NA	sing	3.89	9.3	22	204.6
239.45	0	1	DenseIncorrect	NA	sake	2.62	9.35	28	261.8
245.59	0	1	noise	NA	null	-1	-1	-1	-1
251.73	0	1	DenseCorrect	NA	hat	4.86	9.37	34	318.58
257.87	0	1	SparseCorrect	NA	length	3.9	10.84	0	0
264.01	0	1	DenseCorrect	NA	toe	4.86	8.42	31	261.02
276.289	0	1	noise	NA	null	-1	-1	-1	-1
282.428	0	1	SparseCorrect	NA	fudge	4.8	7.26	6	43.56
288.568	0	1	DenseCorrect	NA	hug	4.1	8.24	21	173.04
294.708	0	1	DenseCorrect	NA	done	1.96	12.07	30	362.1
306.987	0	1	SparseCorrect	NA	realm	2.74	8.89	2	17.78
319.267	0	1	noise	NA	null	-1	-1	-1	-1
325.407	0	1	SparseCorrect	NA	stench	3.62	6.89	1	6.89
331.547	0	1	DenseCorrect	NA	mass	3.24	10.43	26	271.18
343.826	0	1	SparseCorrect	NA	club	3.63	11.06	4	44.24
349.966	0	1	noise	NA	null	-1	-1	-1	-1
356.106	0	1	DenseCorrect	NA	dare	2.24	9.09	26	236.34
368.386	0	1	SparseCorrect	NA	watch	3.67	10.95	5	54.75
374.525	0	1	SparseCorrect	NA	nerve	3.72	8.34	6	50.04
